,0_model,0_baseline
Annual return,0.16903733347733674,0.11520893817976496
Cumulative returns,4.827626705169678,2.4188909374038987
Annual volatility,0.1635853325809199,0.17653434154786782
Sharpe ratio,1.0373334221388038,0.7066500935593668
Calmar ratio,0.5393313846683211,0.31065201374283913
Stability,0.9810698744857939,0.9611266111095068
Max drawdown,-0.31342016853199,-0.370861713695943
Omega ratio,1.2284686307837733,1.1519997155365247
Sortino ratio,1.4864813042800504,0.9916339693949878
Skew,,
Kurtosis,,
Tail ratio,0.9522032239220702,0.9429873730526172
Daily value at risk,-0.01993643189780414,-0.021746204675425016
